bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
Abolição;70;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;352;316;461;460;453;450;505;531;536;560;500;594;441;492;410;446;367;405;322;400;306;356;195;246;129;171;105;162;77;121;61;158
Acari;111;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;66;59;102;99;86;65;147;102;182;147;127;156;108;88;103;94;85;81;75;85;64;82;54;53;39;40;22;35;25;20;21;54
Água Santa;67;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;493;556;819;826;955;992;1519;1486;2051;2067;1875;1732;1581;1516;1462;1512;1550;1590;1401;1687;1272;1565;975;1366;710;1109;615;975;460;788;462;931
Alto da Boa Vista;34;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;320;297;504;506;482;472;489;503;469;549;487;546;398;437;360;423;357;425;321;405;265;334;202;241;143;216;122;193;81;147;86;186
Anchieta;107;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;107;102;193;190;191;193;214;206;256;231;259;244;192;203;166;182;163;155;174;177;124;164;96;118;64;105;60;86;41;66;45;66
Andaraí;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;430;433;609;614;635;652;696;759;739;795;731;705;584;632;515;624;498;614;456;551;346;458;288;385;216;317;154;239;108;198;112;222
Anil;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1020;966;1544;1487;1600;1630;1801;1957;1801;1977;1736;1915;1386;1679;1301;1593;1284;1649;1208;1501;937;1303;717;1001;511;757;412;607;276;539;335;834
Bancários;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;600;599;931;938;850;871;1097;1060;1223;1186;1139;1107;941;954;816;849;752;806;653;707;514;631;374;493;275;327;186;318;124;239;123;249
Bangu;141;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;508;499;849;870;751;772;758;876;752;873;623;700;511;582;499;561;423;527;369;490;297;381;204;245;103;167;109;118;57;89;46;85
Barra da Tijuca;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;530;503;836;760;875;856;1199;1032;1335;1104;1207;1009;960;948;858;914;851;946;825;903;641;755;490;651;349;463;258;420;210;360;228;479
Barra de Guaratiba;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;92;70;110;101;125;104;99;109;102;100;106;104;83;87;97;111;96;114;123;129;94;121;92;101;63;95;57;76;44;62;48;92
Barros Filho;112;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;911;879;1363;1358;1314;1399;1712;1823;1966;2121;1941;1933;1684;1792;1453;1568;1265;1479;1160;1432;867;1255;716;924;442;593;377;490;239;404;253;594
Benfica;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;1304;1279;1680;1700;2167;2055;2982;3165;3894;4191;3597;4097;2912;3294;2426;3096;2786;3491;2502;3398;2256;3131;1803;2593;1319;2065;1080;1869;886;1661;1110;2676
Bento Ribeiro;89;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;386;394;535;567;602;632;861;853;1123;1169;1023;1130;800;959;724;847;774;937;689;900;590;904;475;792;372;638;333;609;273;554;336;774
Bonsucesso;40;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;155;141;251;248;235;259;270;297;279;308;232;303;249;238;192;265;205;302;233;286;178;234;160;198;118;115;67;99;72;82;65;130
Botafogo;20;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;558;516;807;842;967;1033;1589;1664;2243;2466;1871;2271;1457;1691;1309;1695;1578;2022;1493;2112;1422;2115;1222;2022;984;1686;891;1694;832;1569;1066;2510
Brás de Pina;45;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;90;100;169;165;182;223;326;339;477;459;431;423;298;329;301;350;382;408;356;456;276;413;233;334;168;280;173;275;123;227;142;357
Cachambi;65;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;187;193;224;235;286;272;377;444;525;649;573;689;454;575;406;471;426;576;455;634;414;626;334;503;245;335;179;337;157;287;163;458
Cacuia;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;732;725;1024;989;1157;1105;1432;1505;1903;2074;1748;1961;1479;1749;1384;1712;1596;2000;1436;1902;1255;1917;1036;1646;800;1193;676;1140;529;1004;700;1699
Caju;4;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;161;164;230;205;235;215;306;206;234;251;178;291;343;359;284;320;281;259;196;254;165;238;149;193;109;152;88;119;85;110;97;206
Camorim;129;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1824;1649;2496;2400;3016;3199;4696;5027;6029;6525;5371;5906;4280;4909;3939;4779;4413;5449;4356;6137;4137;6371;3584;5848;2996;4941;2702;4973;2270;4533;3110;8036
Campinho;78;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;218;213;335;390;367;342;456;530;578;710;566;669;439;518;421;466;453;528;410;532;395;575;353;537;304;439;250;354;186;321;261;633
Campo dos Afonsos;136;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;229;275;359;361;423;419;596;612;666;710;609;728;518;581;437;607;471;662;513;739;482;702;434;624;296;436;241;321;164;287;201;465
Campo Grande;144;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;635;629;881;845;975;935;1210;1296;1487;1661;1514;1709;1309;1583;1254;1478;1429;1703;1304;1727;1221;1828;1165;1615;857;1330;793;1209;682;1201;1010;2134
Cascadura;82;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;324;358;439;441;473;445;497;538;673;714;730;852;605;752;577;732;660;807;586;758;536;779;454;603;344;453;226;380;194;306;224;528
Catete;18;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;356;346;484;454;515;514;664;650;642;793;788;925;725;921;669;813;722;958;822;944;662;1002;721;781;491;560;358;373;247;312;271;542
Catumbi;6;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;730;681;945;888;1071;1028;1246;1303;1471;1788;1624;1863;1484;1774;1378;1652;1481;1854;1521;2008;1392;1963;1276;1847;1097;1570;879;1275;759;1170;969;2038
Cavalcanti;80;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;209;231;311;340;305;337;354;399;384;414;333;433;356;431;352;468;334;492;375;485;329;449;331;409;268;277;150;206;145;157;148;238
Centro;5;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;326;321;565;560;512;546;570;573;550;586;526;607;479;543;416;438;334;424;283;384;237;285;176;189;96;120;71;87;31;57;30;62
Cidade de Deus;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;4.1;Área de Planejamento 4;4;227;248;362;329;322;305;353;343;327;372;325;361;309;332;283;310;327;365;312;364;258;276;194;231;144;176;118;143;98;131;95;172
Cidade Nova;8;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;156;149;205;215;228;252;296;322;365;399;315;349;272;338;292;328;287;356;288;352;202;356;195;301;141;246;141;217;91;203;91;280
Cidade Universitária;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;2792;2785;4149;4157;4620;4742;5497;5887;6356;7122;5658;6313;4937;5975;4638;5789;5114;6650;5023;6732;4358;6366;3713;5458;2817;4480;2602;4300;2064;3974;2680;6535
Cocotá;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;732;694;1044;1127;1236;1215;1401;1436;1568;1734;1429;1649;1186;1420;1145;1378;1188;1564;1227;1759;1063;1549;817;1287;606;930;491;890;398;793;469;1141
Coelho Neto;110;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;764;789;1047;1030;1095;1112;1357;1351;1501;1613;1386;1600;1257;1548;1151;1397;1219;1563;1232;1599;1031;1469;808;1185;621;933;528;857;417;808;492;1234
Colégio;77;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;388;374;552;552;657;661;989;1020;1195;1226;938;985;710;894;701;903;851;1098;877;1164;759;1075;583;831;399;682;348;622;302;582;333;877
Complexo do Alemão;156;COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;3.4;Área de Planejamento 3;3;1687;1662;2595;2525;2649;2809;3000;3302;3574;4002;3030;3742;2719;3356;2469;3119;2559;3321;2531;3340;2142;3085;1734;2563;1267;2060;1078;1796;876;1631;981;2220
Copacabana;24;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;1899;2021;2796;2815;2925;3058;3898;3800;3935;3856;3468;3317;2593;2592;2006;2223;1554;1771;1303;1455;869;1037;613;712;316;421;202;259;113;170;78;148
Cordovil;46;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;372;376;550;547;622;608;673;719;747;803;678;767;566;637;625;670;547;753;596;759;481;626;400;544;280;368;269;421;171;337;202;433
Cosme Velho;19;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1073;1097;1808;1869;1453;1621;1510;1742;1513;1831;1662;1784;1378;1402;1065;1159;794;960;712;735;494;545;327;345;179;229;124;150;55;112;45;102
