bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoas alfabetizadas, Sexo masculino, 15 a 19 anos;Pessoas alfabetizadas, Sexo feminino, 15 a 19 anos;Pessoas alfabetizadas, Sexo masculino, 20 a 24 anos;Pessoas alfabetizadas, Sexo feminino, 20 a 24 anos;Pessoas alfabetizadas, Sexo masculino, 25 a 29 anos;Pessoas alfabetizadas, Sexo feminino, 25 a 29 anos;Pessoas alfabetizadas, Sexo masculino, 30 a 34 anos;Pessoas alfabetizadas, Sexo feminino, 30 a 34 anos;Pessoas alfabetizadas, Sexo masculino, 35 a 39 anos;Pessoas alfabetizadas, Sexo feminino, 35 a 39 anos;Pessoas alfabetizadas, Sexo masculino, 40 a 44 anos;Pessoas alfabetizadas, Sexo feminino, 40 a 44 anos;Pessoas alfabetizadas, Sexo masculino, 45 a 49 anos;Pessoas alfabetizadas, Sexo feminino, 45 a 49 anos;Pessoas alfabetizadas, Sexo masculino, 50 a 54 anos;Pessoas alfabetizadas, Sexo feminino, 50 a 54 anos;Pessoas alfabetizadas, Sexo masculino, 55 a 59 anos;Pessoas alfabetizadas, Sexo feminino, 55 a 59 anos;Pessoas alfabetizadas, Sexo masculino, 60 a 64 anos;Pessoas alfabetizadas, Sexo feminino, 60 a 64 anos;Pessoas alfabetizadas, Sexo masculino, 65 a 69 anos;Pessoas alfabetizadas, Sexo feminino, 65 a 69 anos;Pessoas alfabetizadas, Sexo masculino, 70 a 79 anos;Pessoas alfabetizadas, Sexo feminino, 70 a 79 anos;Pessoas alfabetizadas, Sexo masculino, 80 anos ou mais;Pessoas alfabetizadas, Sexo feminino, 80 anos ou mais
Abolição;70;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;234;202;276;282;277;330;301;338;301;321;349;375;284;399;267;350;255;388;287;399;278;376;286;491;115;284
Acari;111;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;1137;1219;1280;1347;1178;1397;1032;1243;1057;1286;1026;1217;870;996;638;767;496;632;378;533;314;390;250;387;48;112
Água Santa;67;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;192;192;163;203;203;215;206;217;242;278;255;296;216;245;151;217;205;235;185;206;140;215;175;248;58;152
Alto da Boa Vista;34;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;319;277;382;329;350;332;305;280;352;326;348;408;329;335;301;344;286;356;297;349;223;311;255;351;114;223
Anchieta;107;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;1793;1716;1866;1952;1861;2089;1703;1882;1688;2083;1916;2152;1537;1920;1467;1827;1385;1703;1213;1663;1027;1331;1043;1491;289;688
Andaraí;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;816;755;959;1019;1121;1284;1226;1339;1237;1362;1238;1483;960;1303;918;1206;957;1282;906;1375;768;1317;1017;1794;516;1252
Anil;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;895;826;897;987;1027;1215;1202;1352;1266;1496;1302;1494;999;1241;979;1138;862;1106;734;961;599;886;767;1153;259;619
Argentino;166;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;24;17;15;22;23;22;28;27;16;26;30;39;27;36;24;32;26;32;16;29;17;28;27;28;6;15
Bancários;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;325;358;394;463;418;507;415;458;396;410;410;462;327;407;315;349;270;329;238;313;217;304;251;364;89;173
Bangu;141;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;6710;6557;7634;7775;7105;7720;7149;8058;7220;8239;7788;8829;6343;7653;6070;7305;5845;7270;5409;6968;4107;5480;4330;6406;1274;2894
Barra da Tijuca;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;3216;3040;3275;3475;3405;3900;4109;4973;5060;5789;5703;6490;4935;5896;4555;5575;4579;5364;4330;5234;3999;5049;6218;7852;2662;4208
Barra de Guaratiba;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;144;130;154;151;153;142;165;168;162;161;199;207;172;169;175;193;167;154;126;136;122;124;149;144;31;72
Barra Olímpica;165;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1373;1342;1350;1495;1598;1956;2212;2649;2736;3212;2986;3335;2161;2348;1707;1860;1448;1606;1125;1484;933;1345;1123;1695;335;721
Barros Filho;112;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;724;698;748;874;689;840;763;854;717;841;738;847;571;658;538;627;461;543;382;508;294;387;269;412;68;140
Benfica;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;715;619;753;788;733;815;766;754;766;854;770;915;615;717;607;739;545;637;478;598;346;513;409;630;146;313
